namespace,nombre,patrón,vista,archivo:línea,categoría,plantilla,kwargs,selenium,pruebas
async_notification,api-root,/async_notification/objapi/,rest_framework.routers.APIRootView,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:97,api,,,0,0
async_notification,api-root,/async_notification/objapi/<drf_format_suffix:format>,rest_framework.routers.APIRootView,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:97,api,,format,0,0
async_notification,email_notification,/async_notification/email-notifications/,djgentelella.async_notification.views.email_notification_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:489,infra,,,0,0
async_notification,email_template,/async_notification/email-templates/,djgentelella.async_notification.views.email_template_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:502,infra,,,0,0
async_notification,newsletter,/async_notification/newsletters/,djgentelella.async_notification.views.newsletter_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:515,infra,,,0,0
async_notification,newsletter_template,/async_notification/newsletter-templates/,djgentelella.async_notification.views.newsletter_template_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:528,infra,,,0,0
async_notification,newsletter_task,/async_notification/newsletter-tasks/,djgentelella.async_notification.views.newsletter_task_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:541,infra,,,0,0
async_notification,email_autocomplete,/async_notification/autocomplete/,djgentelella.async_notification.views.email_autocomplete_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:559,infra,,,0,0
async_notification,model_fields,/async_notification/model-fields/,djgentelella.async_notification.views.model_fields_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:594,infra,,,0,0
async_notification,async_upload_image,/async_notification/upload-image/,djgentelella.async_notification.views.upload_image_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:634,infra,,,0,0
async_notification,async_upload_video,/async_notification/upload-video/,djgentelella.async_notification.views.upload_video_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:671,infra,,,0,0
async_notification,preview_file,/async_notification/preview-file/<int:pk>/,djgentelella.async_notification.views.preview_file_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:703,infra,,pk,0,0
async_notification,reassociate_files,/async_notification/reassociate-files/,djgentelella.async_notification.views.reassociate_files_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:714,infra,,,0,0
async_notification,preview_template,/async_notification/preview-template/,djgentelella.async_notification.views.preview_template_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:750,infra,,,0,0
async_notification,newsletter_filter_form,/async_notification/newsletter-filter-form/,djgentelella.async_notification.views.newsletter_filter_form_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:848,infra,,,0,0
async_notification,newsletter_recipients_preview,/async_notification/newsletter-recipients-preview/,djgentelella.async_notification.views.newsletter_recipients_preview_view,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:881,infra,,,0,0
async_notification,unsubscribe,/async_notification/unsubscribe/<str:token>/,djgentelella.async_notification.views.unsubscribe_view,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:779,infra,,token,0,0
async_notification,suppression_webhook,/async_notification/suppression-webhook/,djgentelella.async_notification.views.suppression_webhook,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:815,infra,,,0,0
report,api-report-detail,/report/api/^api_report/(?P<pk>[^/.]+)/$,report.api.views.ReportDataViewSet,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,pk,0,0
report,api-report-detail,/report/api/^api_report/(?P<pk>[^/.]+)\.(?P<format>[a-z0-9]+)/?$,report.api.views.ReportDataViewSet,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,pk|format,0,0
report,api-report-log-detail,/report/api/^api_report_log/(?P<pk>[^/.]+)/$,report.api.views.ReportDataLogViewSet,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,pk,0,0
report,api-report-log-detail,/report/api/^api_report_log/(?P<pk>[^/.]+)\.(?P<format>[a-z0-9]+)/?$,report.api.views.ReportDataLogViewSet,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,pk|format,0,0
